Queens,Stat 1,Stat 2,Stat 3,Stat 4,Total,Winners,Eliminated
Amethyst,15,20,0,-15,20,,Yes
Anetra,40,0,0,10,50,1,No
Aura Mayari,20,0,2,-5,17,1,No
Irene Dubois,5,0,6,-5,6,,Yes
Jax,20,0,6,0,26,,No
Loosey LaDuca,45,0,2,15,62,1,No
Luxx Noir London,35,0,2,20,57,1,No
Malaysia Babydoll Foxx,20,0,2,10,32,,No
Marcia Marcia Marcia,20,0,0,20,40,,No
Mistress Isabelle Brooks,20,0,4,10,34,,No
Princess Poppy,5,0,0,-5,0,,Yes
Robin Fierce,20,0,0,10,30,,Yes
Salina EsTitties,20,10,4,-5,29,,No
Sasha Colby,35,0,0,20,55,1,No
Spice,20,10,2,-5,27,,No
Sugar,10,0,0,-5,5,,Yes
